branchName, Run2, Run3
Tau_idDeepTau2018v2p5VSmu, NOT AVAILABLE, ROOT::VecOps::RVec<UChar_t>
Tau_muIdx, NOT AVAILABLE, ROOT::VecOps::RVec<Short_t>
Tau_nSVs, NOT AVAILABLE, ROOT::VecOps::RVec<UChar_t>
Tau_probDM0PNet, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Tau_probDM10PNet, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Tau_probDM11PNet, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Tau_probDM1PNet, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Tau_probDM2PNet, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Tau_ptCorrPNet, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Tau_qConfPNet, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Tau_rawDeepTau2018v2p5VSe, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Tau_rawDeepTau2018v2p5VSjet, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Tau_rawDeepTau2018v2p5VSmu, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Tau_rawPNetVSe, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Tau_rawPNetVSjet, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Tau_rawPNetVSmu, NOT AVAILABLE, ROOT::VecOps::RVec<Float_t>
Tau_svIdx1, NOT AVAILABLE, ROOT::VecOps::RVec<Short_t>
Tau_svIdx2, NOT AVAILABLE, ROOT::VecOps::RVec<Short_t>
bunchCrossing, NOT AVAILABLE, UInt_t
nGenProton, NOT AVAILABLE, Int_t
