branchName, type_Run2
HLT_BTagMu_AK4DiJet70_Mu5_noalgo, Bool_t
HLT_BTagMu_AK4Jet300_Mu5, Bool_t
HLT_BTagMu_AK4Jet300_Mu5_noalgo, Bool_t
HLT_BTagMu_AK8DiJet170_Mu5, Bool_t
HLT_BTagMu_AK8DiJet170_Mu5_noalgo, Bool_t
HLT_BTagMu_AK8Jet170_DoubleMu5, Bool_t
HLT_BTagMu_AK8Jet170_DoubleMu5_noalgo, Bool_t
HLT_BTagMu_AK8Jet300_Mu5, Bool_t
HLT_BTagMu_AK8Jet300_Mu5_noalgo, Bool_t
HLT_CDC_L2cosmic_5_er1p0, Bool_t
HLT_CDC_L2cosmic_5p5_er1p0, Bool_t
HLT_CaloJet500_NoJetID, Bool_t
HLT_CaloJet550_NoJetID, Bool_t
HLT_CaloMET100_HBHECleaned, Bool_t
HLT_CaloMET100_NotCleaned, Bool_t
HLT_CaloMET110_NotCleaned, Bool_t
HLT_CaloMET250_HBHECleaned, Bool_t
HLT_CaloMET250_NotCleaned, Bool_t
HLT_CaloMET300_HBHECleaned, Bool_t
